Title,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Data Engineer II,Medical University of South Carolina,"Charleston, SC",3 days ago,10-29-2020,"Under indirect supervision, the Data Engineer II provides a variety of operational, technical and collaborative functions within the data Management function of…",,https://www.indeed.com/rc/clk?jk=2d013b4c722da2cf&fccid=a0cb52b0fb3555b4&vjs=3
Data Engineer,"Talmetrix, Inc","Cincinnati, OH",3 days ago,10-29-2020,"As the Data Engineer at Talmetrix, you’ll spend most of your day analyzing client data feeds, producing plans for normalization, then utilize the appropriate…","$55,000 - $75,000 a year","https://www.indeed.com/company/Talmetrix,-Inc/jobs/Data-Engineer-35b3c81c2f1d0ce8?fccid=548ea2b44d0343ae&vjs=3"
Data Engineer I,2U,"Brooklyn, NY",10 days ago,10-29-2020,"Maintaining data pipelines & data systems.
The team is responsible for 2U's analytical data warehouse and supporting data pipelines.",,https://www.indeed.com/rc/clk?jk=a6d810f567143e91&fccid=8f236bae1b36b1dc&vjs=3
Data Engineer,eTek IT Service | Savvysol,"Hoboken, NJ",9 days ago,10-29-2020,"Need a data engineer, not a machine learning engineer.
Functional Programming in Scala as well as data-parallel operations.
Must have master’s degree.",$55 - $65 an hour,https://www.indeed.com/rc/clk?cmp=eTek-IT-Service-%7C-Savvysol&ti=Data+Engineer&jk=2ba52e101163e7c6&fccid=b799b629b7493305&vjs=3
Associate Data Engineer,Housecall Pro,"Denver, CO",3 days ago,10-29-2020,"Solid understanding of data warehouse design and data modelling standards.
You have experience in data warehousing and working with relational databases for the…",,https://www.indeed.com/rc/clk?jk=a489f8eb9c12a2f8&fccid=b75cc522790c4603&vjs=3
Data Engineer,OverlayAnalytics,"Dallas, TX",7 days ago,10-29-2020,"Navigate new data sets frequently and model data efficiently and effectively.
Experience in developing and maintaining ETL/ELT data pipelines.",,https://www.indeed.com/rc/clk?jk=c9228a03cff9c6d2&fccid=e530731ee79de0b9&vjs=3
Data Engineer Intern,Warner Bros. Entertainment Group,"Needham, MA",7 days ago,10-29-2020,"Learn the internals of building a robust end-to-end data pipeline on all levels especially in databases, data modelling, data processing infrastructure and…",,https://www.indeed.com/rc/clk?jk=c9b4ad5a891de29b&fccid=30cc7a5451d4ee77&vjs=3
Data Engineer,Essence,"New York, NY",2 days ago,10-29-2020,Support the development strong working relationships with third-party data providers that we rely on for access to necessary data.,,https://www.indeed.com/rc/clk?jk=5a03807b849b4d9b&fccid=26865d82c27c8d42&vjs=3
Data Engineer (Virtual),Amazon.com Services LLC,Remote,2 days ago,10-29-2020,"Experience with data modeling, data warehousing, and building ETL pipelines.
Familiarity with data quality automation.
We need a Data Engineer!",,https://www.indeed.com/rc/clk?jk=c9a211cb008153ab&fccid=fe2d21eef233e94a&vjs=3
Data Engineer,"Stefanini, Inc","Richmond, VA",2 days ago,10-29-2020,"Experience with data analytics tools including Python, R, etc.
Stefanini is looking for a Senior Data Engineer to support Open Source and Commercial-off-the…",,https://www.indeed.com/rc/clk?jk=82aa1814d5333334&fccid=7e646b8cb4a11b13&vjs=3
Data Engineer,Internet of Things LLC,"Richmond, VA",8 days ago,10-29-2020,"A data engineer to work on a big-data project to gather and process cyber datasets across over 900 AWS accounts.
At least 5 years total experience.",$60.00 - $62.56 an hour,https://www.indeed.com/company/Internet-of-Things-LLC/jobs/Data-Engineer-be2cab17dc8f039b?fccid=b58fbf7d04988fe3&vjs=3
Data Engineer,iconvergence,Remote,8 days ago,10-29-2020,Devices Engineering Services team is building enterprise scale data processing and management solution to utilize the hardware development engineering data for…,"$87,378 - $196,440 a year",https://www.indeed.com/company/iConvergenceSolutions/jobs/Data-Engineer-d3774165172accc8?fccid=8048f09ea2d1f72f&vjs=3
Data Scientist,"Avicena, LLC",Remote,10 days ago,10-29-2020,"Collaborate tightly with a team of software engineers, signal processing engineers, and other data scientists to generate diagnostic models based on clinical…","$120,000 - $150,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AuXf0EN8e87Uf36saLlM8utKq6KkY-lyQETqCLe6Q0NUUQIXRsKpw1qJfMD5-egfPs4_arfePQOeQp_U0tukmf2aN-fB9zyGSBqoMwUq0TwevpeuE3oSKgS2_A3odjJh4Tzd9B3VVSwTFkiyJ6mvJ0xLeOSLlXKbFXUq7L5_2e9K3LsfNEZs-iWbm6-PdXWAKQNixpIOFh7CgyHHyOUBu6jdaxme08rOnnSoUYyFZhrKSJ2lUCkhktdgzMk63gZALei3-MiBCNsXPy5XW_qrDLxT-4c7NPnlQfmPHO2XCFmUp98ojTlisP2pK3mMWK-rbqpeNF0GS2T0gxYRX1PtV9VhOrph88nT9NrK7JoVKUSzVK-ybbgAGFw4DRHO9T3DKR8W2LqBrKSbg0eA-LuarZfPdWP8ibcIK5PVZ-jjA3yIo-XUyVWH_JcGSamWdMpCo=&p=11&fvj=1&vjs=3
"Data Engineer, Data Intelligence",Indigo,Massachusetts,1 day ago,10-29-2020,"Collaborate with researchers and data scientists to ensure understanding data and data needs.
Strong desire to work on data cleaning, processes and execution to…",,https://www.indeed.com/rc/clk?jk=67163b4c4c0a64d4&fccid=27b70883756a2db2&vjs=3
Data Platform Engineer,Pantheon,United States,Just posted,10-29-2020,"Experience supporting data scientists and analysts through PaaS.
Create an automated, state of the art, data platform for various job types and sizes.",,https://www.indeed.com/rc/clk?jk=b13eb1efb03b1e99&fccid=dd616958bd9ddc12&vjs=3
Data Engineer II,Medical University of South Carolina,"Charleston, SC",3 days ago,10-29-2020,"Under indirect supervision, the Data Engineer II provides a variety of operational, technical and collaborative functions within the data Management function of…",,https://www.indeed.com/rc/clk?jk=2d013b4c722da2cf&fccid=a0cb52b0fb3555b4&vjs=3
Database Engineer,Medisolv Inc,"Columbia, MD",8 days ago,10-29-2020,"Healthcare data and data standards (Standard code systems, quality reporting, etc.).
Experience performing data analysis and calculations within a database…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ByjEOJNPME_-JPGrq604UpliuNXNmcl20-hP1wuNGXDPj_sIsj0ykSrAIklVbkIGgpgs5ot-_7yRneO8fQH4gjAByfmrwa2nIBrxnd6nO8jvlnryoylYo4Ww-skI24PGtw8tdKhuCdQTMwEDcZuBMSr9kOmYFDyNB2bCCgnfxxOt1G4IKxgp9Gob0Fcnu9ld07HHfDXtERddLcKj0KpvfYLFFU6n3pboo4gCLJeI-lGaz2vfHXVFiOwKiqOPkxSPGGsfkhoSbxXAIzA3xhA0LG97Zi3Yni9oVHXz8kabAVXCEcSt9BNLA-KQpF3zEdWkNfZwsB8oqhGjJxzY8k9mHp_R_Hs7nIGPKHU53rsqlrvCfLH8Wz1mepI2qZUI0LCNigzT9gr2BV5xBV0Atb9Epa9Iw32PX_S-DLIhLAw_-HgiKCm7Xu9OqGeADru3lo5F4ldP4toYoRo5dVEthLxvK0&p=0&fvj=0&vjs=3
Data Engineer,RiskIQ,California,Today,10-29-2020,"Prior experience developing data pipelines for data sets above 1 TB.
Maintaining the high-quality of our data pipelines in production, ensuring that the data…",,https://www.indeed.com/rc/clk?jk=d90ad300ee39cc4c&fccid=fcbd02e4c90e5fbb&vjs=3
Data Engineer,iconvergence,Remote,8 days ago,10-29-2020,Devices Engineering Services team is building enterprise scale data processing and management solution to utilize the hardware development engineering data for…,"$87,378 - $196,440 a year",https://www.indeed.com/company/iConvergenceSolutions/jobs/Data-Engineer-d3774165172accc8?fccid=8048f09ea2d1f72f&vjs=3
Data Engineer,Dandy,"New York, NY",2 days ago,10-29-2020,"1-5+ years in a data engineer or SQL-heavy data analyst role (high-growth startup environments highly preferred).
Dandy is a business-in-a-box for dentists.",,https://www.indeed.com/rc/clk?jk=bcee578b72a89f21&fccid=122a2a18f7a5d394&vjs=3
Data Engineer,Maven LLC,"Columbus, OH",9 days ago,10-29-2020,"Experience in a health system, health plan or healthcare-data startup as a data analyst.
Experience with health care claims data.",,https://www.indeed.com/rc/clk?jk=6e62f52eb0a04747&fccid=8af0bc8594ed7b52&vjs=3
Data Engineer(Advanced Analytics),Blue5Green LLC,"Wyomissing, PA",Today,10-29-2020,Required skills (maximum of 6): Data engineer with experience of data warehousing and analytics landscape technologiesGood experience of SQL programmingBasic…,,https://www.indeed.com/rc/clk?jk=a85febb9c5eb63a3&fccid=fc72439a5d407f8c&vjs=3
Data Engineer – Personalization,Spotify,"Boston, MA",2 days ago,10-29-2020,"You are knowledgeable about data modeling, data access, and data storage techniques.
Build large-scale batch and real-time data pipelines with data processing…",,https://www.indeed.com/rc/clk?jk=c244ec09b964443b&fccid=fe404d18bb9eef1e&vjs=3
Senior Data warehouse Engineer,Hanatek LLC,"San Ramon, CA",8 days ago,10-29-2020,"Perform data profiling on large, complex data sets and provide insights into data quality challenges.
Build, maintain, and improve data models, dashboards, and…",$70 - $95 an hour,https://www.indeed.com/company/Hanatek-LLC/jobs/Senior-Data-Warehouse-Engineer-96058425050c6e61?fccid=86c34378d3d181da&vjs=3
